id,date,vaccines,tests,recovered,deaths,hosp,vent,icu,population,new_confirmed,confirmed
CHN,2020-01-19,0,0,0,3,0,0,0,1392730000,77,77
CHN,2020-01-20,0,0,0,4,0,0,0,1392730000,93,170
CHN,2020-01-21,0,0,0,6,0,0,0,1392730000,147,317
CHN,2020-01-22,0,0,0,17,0,0,0,1392730000,132,449
CHN,2020-01-23,0,0,0,18,0,0,0,1392730000,261,710
CHN,2020-01-24,0,0,0,26,0,0,0,1392730000,462,1172
CHN,2020-01-25,0,0,0,42,0,0,0,1392730000,688,1860
CHN,2020-01-26,0,0,0,56,0,0,0,1392730000,776,2636
CHN,2020-01-27,0,0,0,82,0,0,0,1392730000,1772,4408
CHN,2020-01-28,0,0,0,131,0,0,0,1392730000,1464,5872
CHN,2020-01-29,0,0,0,133,0,0,0,1392730000,1739,7611
CHN,2020-01-30,0,0,0,171,0,0,0,1392730000,1984,9595
CHN,2020-01-31,0,0,0,213,0,0,0,1392730000,2101,11696
CHN,2020-02-01,0,0,0,259,0,0,0,1392730000,2590,14286
CHN,2020-02-02,0,0,0,361,0,0,0,1392730000,2827,17113
CHN,2020-02-03,0,0,0,425,0,0,0,1392730000,3233,20346
CHN,2020-02-04,0,0,0,491,0,0,0,1392730000,3892,24238
CHN,2020-02-05,0,0,0,563,0,0,0,1392730000,3697,27935
CHN,2020-02-06,0,0,0,633,0,0,0,1392730000,3151,31086
CHN,2020-02-07,0,0,0,718,0,0,0,1392730000,3387,34473
CHN,2020-02-08,0,0,0,805,0,0,0,1392730000,2653,37126
CHN,2020-02-09,0,0,0,905,0,0,0,1392730000,2984,40110
CHN,2020-02-10,0,0,0,1012,0,0,0,1392730000,2473,42583
DPC,2020-02-10,0,439,0,0,0,0,0,3711,0,0
CHN,2020-02-11,0,0,0,1112,0,0,0,1392730000,2022,44605
DPC,2020-02-11,0,0,0,0,0,0,0,3711,39,39
CHN,2020-02-12,0,0,0,1117,0,0,0,1392730000,15152,59757
DPC,2020-02-12,0,492,0,0,0,0,0,3711,44,83
CHN,2020-02-13,0,0,0,1369,0,0,0,1392730000,4050,63807
DPC,2020-02-13,0,713,0,0,0,0,0,3711,0,83
CHN,2020-02-14,0,0,0,1521,0,0,0,1392730000,2644,66451
DPC,2020-02-14,0,0,0,0,0,0,0,3711,67,150
CHN,2020-02-15,0,0,0,1663,0,0,0,1392730000,2008,68459
DPC,2020-02-15,0,930,0,0,0,0,0,3711,70,220
CHN,2020-02-16,0,0,0,1767,0,0,0,1392730000,2051,70510
DPC,2020-02-16,0,1219,0,0,0,0,0,3711,99,319
CHN,2020-02-17,0,0,0,1865,0,0,0,1392730000,1893,72403
DPC,2020-02-17,0,1723,0,0,0,0,0,3711,88,407
CHN,2020-02-18,0,0,0,2004,0,0,0,1392730000,1750,74153
DPC,2020-02-18,0,2404,0,0,0,0,0,3711,79,486
CHN,2020-02-19,0,0,0,2117,0,0,0,1392730000,397,74550
DPC,2020-02-19,0,3011,0,0,0,0,0,3711,13,499
CHN,2020-02-20,0,0,0,2239,0,0,0,1392730000,893,75443
